Product_name,Quantity,Category,Subcategory,Subcategory2,Subcategory3,
GoGo SqueeZ Applesauce Strawberry 3.2oz.,138,Food,Fruit,,All,
Grandmas Chocolate Chip Cookie,138,Food,Snack,Cookie,All,
Fiji Water,137,Beverage,Water,,All,
Dots Homestyle Pretzels - Honey Mustard 2.5oz,137,Food,Snack,Pretzels,All,
Cookies & Cream Ice Cream,137,Food,Desert,Ice cream,All,
Grand Teton Animal Cookies,137,Food,Snack,Cookie,All,
Gatorade - Thirst Quencher - Fruit Punch 20oz,137,Beverage,Sports Drink,,All,
Grandmas - Peanut Butter Cookies 2.5oz.,136,Food,Snack,Cookie,All,
Halls - Cherry 9drops,135,Medicine,Medicine,Cough drops,All,
Jedediahs - Chicken Quesadilla,134,Food,Quesadilla,Chicken,Lunch/Dinner,
Minute Maid Lemonade,134,Beverage,Juice,,All,
Roseli Mozzarella String Cheese 1oz.,134,Food,Snack,Cheese,All,
f,133,,,,,
Keebler Mini Fudge Stripe Cookie 2oz.,133,Food,Snack,Cookie,All,
Dots Homestyle Pretzels - Honey Mustard 2.5oz,133,Food,Snack,Pretzels,All,
Southwest Chicken Salad Wrap,133,Food,Wrap,Chicken,Lunch/Dinner,
t,132,,,,,
Jackson Hole Wild Huckleberry Syrup 10 oz.,132,Food,Snack,Syrup,All,
Topo Chico Sparkling Mineral Water 20 oz.,131,Beverage,Sparkling Water,,All,
Starburst Original,128,Food,Snack,Candy,All,
Americano 12oz - ICED,128,Beverage,Cold Coffee,,All,
3 Musketeers Bar,127,Food,Snack,Candy,All,
g,126,,,,,
Lays Barbecue,126,Food,Snack,Chips,All,
Egg salad everything on Bagel,126,Food,Sandwich,Egg,All,
Vitamin Water - Refresh,126,Beverage,Vitamin Water,,All,
Orbit Sugar Free Wintermint Gum 14pc.,125,Food,Snack,Gum,All,
Red Bull Sugar-Free Energy Drink 12 fl. oz.,125,Beverage,Energy Drink,,All,
Mursells Sweet Shop Jackson Hole,124,Food,Snack,Candy,All,
magnet,123,Home Decor,Magnet,,All,
popcorn,122,Food,Snack,Popcorn,All,
Body Armor Lyte -Orange Clementine,122,Beverage,Sports Drink,,All,
Sun Chips No artificial Flavors Garden Salsa,121,Food,Snack,Chips,All,
Cortado 12oz - HOT,121,Beverage,Coffee,,All,
Tums - Fruit Extra Strength750 8chewable tablets,120,Medicine,Medicine,,All,
All Greens - Made with Almond Milk,120,Beverage,Smoothie,,All,
Werthers Original Caramel Hard Candies-12ct roll,118,Food,Snack,Candy,All,
Lindt Lindor Truffles Dark Chocolate,118,Food,Snack,Dark Chocolate,All,
Devonshire Premium Belgian Chocolate Chip Waffle w,118,Food,Snack,Waffle,All,
Venison Jerky Bag,117,Food,Snack,Protien,All,
b,116,,,,,
Latte 16oz - ICED,115,Beverage,Cold Coffee,,All,
BUBBLR Twisted Elixr Antioxidant Sparkling Water,115,Beverage,Sparkling Water,,All,
Sunset Trail Mix,114,Food,Snack,Nuts,All,
Chefs Line Iced Pumpkin Swirl Loaf Cake,113,Food,Desert,Cake,All,
Dramamine Tablets 1 Dose 2 Tablets Single-pack,113,Medicine,Medicine,Motion Sickness,All,
Blueberry,112,,,,,
Chefs Line - Chocolate Banana Swirl Cake 4oz,112,Food,Desert,Cake,All,
Americano 16oz - ICED,112,Beverage,Cold Coffee,,All,
salad,111,Food,Salad,,Lunch/Dinner,
Chex Mix Bagel Chips,111,Food,Snack,Chips,All,
tea,111,Beverage,Tea,,All,
Cowboy Beef Bites,110,Food,Snack,Beef,All,
Dunkin Donuts - Original,110,Beverage,Coffee,,All,
Vitamin Water - Revive,110,Beverage,Vitamin Water,,All,
emp,110,,,,,
bar,110,,,,,
Planters Nuts & Chocolate Trail Mix,110,Food,Snack,,All,
Orbit Sugar Free Peppermint Gum 14pc.,109,Beverage,,Halthy,All,
Powerade - Grape,109,Beverage,Sports Drink,,All,
jerky,109,Food,Snack,,All,
Gatorade Frost Thirst Quencher - Frost Glacier Che,109,Beverage,Sports Drink,,All,
Dunkin Donuts - Mocha,108,Beverage,Coffee,,All,
Moodibars - chill,108,Food,Snack,,All,
Twizzlers,107,Food,Snack,Candy,All,
Welchs Apple Juice 10oz.,106,Food,Juice,Healthy,All,
Suckerpunch Gourmet Fiery Hot 3-Pepper Pickle Chip,106,Food,Condiments,Pickle,All,
Chocolate Brownie,106,Food,Desert,Brownie,All,
Jelly Belly - 20 Assorted Flavors 3.5oz. Bag,106,Food,Snack,Candy,All,
Gatorade Frost Thirst Quencher - Frost Glacier Fre,106,Beverage,Sports Drink,,All,
Orbit Sugar Free Peppermint Gum 14pc.,105,Food,Snack,Healthy,All,
Naked Juice - Mighty Mango,105,Beverage,Juice,,All,
shirt,104,Cloths,Shirt,,All,
Pure Leaf Unsweetened Iced Tea (16.9 oz),104,Beverage,Tea,Healthy,,
Fig Newtons,103,Food,Snack,,All,
Dunkin’ French Vanilla,103,Beverage,Coffee,,ALL,
Huckleberry Syrup,102,Food,,,Breakfast,
Naked Juice - Berry Blast,102,Beverage,Juice,,All,
Sour Jacks Sandwich,102,Food,Sandwich,,Breakfast,
Jelly Belly Sugar-Free Sours,102,Food,Jelly,Healthy,All,
Naked Juice - Red Machine,101,Beverage,Juice,,All,
Sprite Zero Sugar,101,Beverage,Sprite,Healthy,,
